model,dataset,display_name,role,domain,freq,seasonal_m,status,evidence_scope,verified,citation
tirex,boom_hourly,BOOM,primary,cloud observability,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,False,"Chronos-2 (arXiv:2510.15821) Sec 5.1 on fev-bench: ""None of these datasets or tasks were seen by Chronos-2 during training."" VERIFY: confirm LOOP_SEATTLE is a fev-bench task and not merely a member of the autogluon/fev_datasets collection."
timesfm3,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,explicitly_held_out,benchmark_exclusion,False,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined) VERIFY fev-bench membership."
tirex,LOOP_SEATTLE_5T,Loop Seattle,primary,road speed,5min,288,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,electricity_15min,Electricity 15min,control,energy,15min,96,pretraining_exposed,source_level,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""Electricity"". The 15-minute variant is the SAME 370 meters at 4x the rate, so exposure is source-level: the underlying measurements were seen, this exact resampling was not listed."
timesfm3,electricity_15min,Electricity 15min,control,energy,15min,96,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,electricity_15min,Electricity 15min,control,energy,15min,96,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,SZ_TAXI_15T,SZ Taxi,primary,road speed,15min,96,explicitly_held_out,benchmark_exclusion,False,"Chronos-2 (arXiv:2510.15821) Sec 5.1 on fev-bench: ""None of these datasets or tasks were seen by Chronos-2 during training."" VERIFY: confirm SZ_TAXI is a fev-bench task and not merely a member of the autogluon/fev_datasets collection."
timesfm3,SZ_TAXI_15T,SZ Taxi,primary,road speed,15min,96,explicitly_held_out,benchmark_exclusion,False,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined) VERIFY fev-bench membership."
tirex,SZ_TAXI_15T,SZ Taxi,primary,road speed,15min,96,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,monash_london_smart_meters,London Smart Meters,primary,residential energy,30min,48,pretraining_exposed,exact_dataset,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""London Smart Meters""."
timesfm3,monash_london_smart_meters,London Smart Meters,primary,residential energy,30min,48,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,monash_london_smart_meters,London Smart Meters,primary,residential energy,30min,48,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,m5,M5,primary,retail,1D,7,explicitly_held_out,benchmark_exclusion,False,"Chronos-2 (arXiv:2510.15821) on Chronos Benchmark II: ""None of these datasets were included in the training corpus of Chronos-2."" VERIFY: confirm M5 is a Chronos Benchmark II task."
timesfm3,m5,M5,primary,retail,1D,7,explicitly_held_out,benchmark_exclusion,False,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined). The corpus excludes datasets overlapping fev-bench. VERIFY M5's fev-bench membership."
tirex,m5,M5,primary,retail,1D,7,explicitly_held_out,benchmark_exclusion,False,"TiRex (arXiv:2505.23719): ""TiRex's pre-training data has no overlap with Chronos-ZS benchmark."" VERIFY M5's Chronos-ZS membership."
chronos2,wiki_daily_100k,Wiki Daily,primary,web traffic,1D,7,pretraining_exposed,exact_dataset,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""Wiki""."
timesfm3,wiki_daily_100k,Wiki Daily,primary,web traffic,1D,7,pretraining_exposed,source_level,False,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined). The card names the SOURCE (""Wikipedia Pageviews, cutoff Nov 2023""); our series end 2022-12-31, inside that cutoff. This is source-level evidence — the card never names wiki_daily_100k."
tirex,wiki_daily_100k,Wiki Daily,primary,web traffic,1D,7,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,monash_traffic,Traffic,primary,road volume,1H,24,undocumented,source_family,False,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets is declared exhaustive, but the transcription in data/chronos2_seen_manifest.md ends in ""a.o."" and does not settle whether ""Traffic"" is an entry. VERIFY against the published Table 6 before citing."
timesfm3,monash_traffic,Traffic,primary,road volume,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,monash_traffic,Traffic,primary,road volume,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
